Sample in Buffer,Sample in Window,TRIGGER,capture_addr[16:0],capture_data[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
869,869,0,0aa00,122
870,870,0,0aa00,122
871,871,0,0aa00,122
872,872,0,0aa00,122
873,873,0,0aa00,122
874,874,0,0aa00,122
875,875,0,0aa00,122
876,876,0,0aa00,122
877,877,0,0aa00,122
878,878,0,0aa00,122
879,879,0,0aa00,122
880,880,0,0aa00,122
881,881,0,0aa00,122
882,882,0,0aa00,122
883,883,0,0aa00,122
884,884,0,0aa00,122
885,885,0,0aa00,122
886,886,0,0aa00,122
887,887,0,0aa00,122
888,888,0,0aa00,122
889,889,0,0aa00,122
890,890,0,0aa00,122
891,891,0,0aa00,122
892,892,0,0aa00,122
893,893,0,0aa00,122
894,894,0,0aa00,122
895,895,0,0aa00,122
896,896,0,0aa00,122
897,897,0,0aa00,122
898,898,0,0aa00,122
899,899,0,0aa00,122
900,900,0,0aa00,122
901,901,0,0aa00,122
902,902,0,0aa00,122
903,903,0,0aa00,122
904,904,0,0aa00,122
905,905,0,0aa00,122
906,906,0,0aa00,122
907,907,0,0aa00,122
908,908,0,0aa00,122
909,909,0,0aa00,122
910,910,0,0aa00,122
911,911,0,0aa00,122
912,912,0,0aa00,122
913,913,0,0aa00,122
914,914,0,0aa00,122
915,915,0,0aa00,122
916,916,0,0aa00,122
917,917,0,0aa00,122
918,918,0,0aa00,122
919,919,0,0aa00,122
920,920,0,0aa00,122
921,921,0,0aa00,122
922,922,0,0aa00,122
923,923,0,0aa00,122
924,924,0,0aa00,122
925,925,0,0aa00,122
926,926,0,0aa00,122
927,927,0,0aa00,122
928,928,0,0aa00,122
929,929,0,0aa00,122
930,930,0,0aa00,122
931,931,0,0aa00,122
932,932,0,0aa00,122
933,933,0,0aa00,122
934,934,0,0aa00,122
935,935,0,0aa00,122
936,936,0,0aa00,122
937,937,0,0aa00,122
938,938,0,0aa00,122
939,939,0,0aa00,122
940,940,0,0aa00,122
941,941,0,0aa00,122
942,942,0,0aa00,122
943,943,0,0aa00,122
944,944,0,0aa00,122
945,945,0,0aa00,122
946,946,0,0aa00,122
947,947,0,0aa00,122
948,948,0,0aa00,122
949,949,0,0aa00,122
950,950,0,0aa00,122
951,951,0,0aa00,122
952,952,0,0aa00,122
953,953,0,0aa00,122
954,954,0,0aa00,122
955,955,0,0aa00,122
956,956,0,0aa00,122
957,957,0,0aa00,122
958,958,0,0aa00,122
959,959,0,0aa00,122
960,960,0,0aa00,122
961,961,0,0aa00,122
962,962,0,0aa00,122
963,963,0,0aa00,122
964,964,0,0aa00,122
965,965,0,0aa00,122
966,966,0,0aa00,122
967,967,0,0aa00,122
968,968,0,0aa00,122
969,969,0,0aa00,122
970,970,0,0aa00,122
971,971,0,0aa00,122
972,972,0,0aa00,122
973,973,0,0aa00,122
974,974,0,0aa00,122
975,975,0,0aa00,122
976,976,0,0aa00,122
977,977,0,0aa00,122
978,978,0,0aa00,122
979,979,0,0aa00,122
980,980,0,0aa00,122
981,981,0,0aa00,122
982,982,0,0aa00,122
983,983,0,0aa00,122
984,984,0,0aa00,122
985,985,0,0aa00,122
986,986,0,0aa00,122
987,987,0,0aa00,122
988,988,0,0aa00,122
989,989,0,0aa00,122
990,990,0,0aa00,122
991,991,0,0aa00,122
992,992,0,0aa00,122
993,993,0,0aa00,122
994,994,0,0aa00,122
995,995,0,0aa00,122
996,996,0,0aa00,122
997,997,0,0aa00,122
998,998,0,0aa00,122
999,999,0,0aa00,122
1000,1000,0,0aa00,122
1001,1001,0,0aa00,122
1002,1002,0,0aa00,122
1003,1003,0,0aa00,122
1004,1004,0,0aa00,122
1005,1005,0,0aa00,122
1006,1006,0,0aa00,122
1007,1007,0,0aa00,122
1008,1008,0,0aa00,122
1009,1009,0,0aa00,122
1010,1010,0,0aa00,122
1011,1011,0,0aa00,122
1012,1012,0,0aa00,122
1013,1013,0,0aa00,122
1014,1014,0,0aa00,122
1015,1015,0,0aa00,122
1016,1016,0,0aa00,122
1017,1017,0,0aa00,122
1018,1018,0,0aa00,122
1019,1019,0,0aa00,122
1020,1020,0,0aa00,122
1021,1021,0,0aa00,122
1022,1022,0,0aa00,122
1023,1023,0,0aa00,122
